VCF Path	Size	Variants	TBI Valid
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/8/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.8.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/9/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.9.snv.sort.vcf.gz	577.7MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ/align/ont/na/sv/sentdhiomr/HIOa-HG003-SR15x-ONT15x-39-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.sv.vcf.gz	3.0MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/cnv/sentdhiomr/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.cnv.vcf.gz	443.5KB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/segdup/sentdhiomr/results/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.CYP11B1.result.vcf.gz	24.3KB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/segdup/sentdhiomr/results/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.NCF1.result.vcf.gz	23.7KB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/segdup/sentdhiomr/results/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.SMN1.result.vcf.gz	22.3KB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/segdup/sentdhiomr/results/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.STRC.result.vcf.gz	22.7KB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.snv.sort.vcf.gz	544.6MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/1/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.1.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
